---
Mammal:            human
Fs:                200
Integration_level: electrocardiogram

Channels:

    - type:   electrography
-0.08 0.01 -0.0
-0.09 0.01 -0.0
-0.09 0.01 -0.0
-0.10 0.00 -0.0
-0.09 0.03 -0.0
-0.08 0.08 0.01
-0.06 0.21 0.15
-0.04 0.34 0.28
-0.26 0.38 0.34
-0.38 0.28 0.30
-0.60 0.08 0.15
-0.77 -0.24 -0.
-0.92 -0.54 -0.
-0.94 -0.59 -0.
-0.97 -0.66 -0.
-0.86 -0.67 -0.
-0.73 -0.59 -0.
-0.66 -0.54 -0.
-0.49 -0.41 -0.
-0.34 -0.28 -0.
-0.23 -0.17 -0.
-0.20 -0.14 -0.
-0.13 -0.08 -0.
-0.08 -0.04 -0.
-0.05 0.02 -0.0
-0.04 0.05 -0.0
-0.02 0.05 -0.0
-0.02 0.04 -0.0
-0.01 0.07 -0.0
-0.01 0.07 -0.0
-0.01 0.07 -0.0
0.00 0.05 -0.04
0.00 0.04 -0.05
0.00 0.07 -0.03
0.01 0.09 -0.01
0.01 0.11 0.01
0.01 0.07 -0.02
0.01 0.08 -0.01
0.02 0.11 0.01
0.03 0.12 0.02
0.03 0.12 0.01
0.03 0.11 0.01
0.03 0.11 0.01
0.05 0.16 0.05
0.06 0.15 0.05
0.06 0.15 0.04
0.07 0.13 0.02
0.07 0.11 -0.00
0.06 0.09 -0.01
0.07 0.11 0.01
0.10 0.13 0.00
0.11 0.16 0.03
0.11 0.19 0.07
0.11 0.19 0.07
0.13 0.20 0.06
0.15 0.22 0.08
0.16 0.24 0.10
0.16 0.23 0.09
0.17 0.22 0.09
0.19 0.22 0.09
0.21 0.24 0.10
0.21 0.25 0.11
0.23 0.26 0.11
0.24 0.26 0.11
0.25 0.27 0.11
0.25 0.27 0.12
0.26 0.29 0.13
0.28 0.29 0.12
0.30 0.33 0.15
0.30 0.33 0.16
0.32 0.34 0.17
0.32 0.35 0.17
0.32 0.34 0.16
0.31 0.32 0.15
0.31 0.33 0.16
0.29 0.31 0.14
0.26 0.29 0.14
0.24 0.28 0.13
0.21 0.24 0.11
0.18 0.21 0.07
0.16 0.19 0.05
0.16 0.18 0.04
0.14 0.21 0.08
0.11 0.19 0.06
0.10 0.16 0.03
0.09 0.15 0.02
0.08 0.13 0.02
0.07 0.13 0.02
0.07 0.14 0.02
0.06 0.13 0.02
0.07 0.13 0.02
0.06 0.12 0.01
0.06 0.12 0.02
0.05 0.11 0.01
0.05 0.10 0.00
0.06 0.11 0.00
0.07 0.10 0.00
0.08 0.13 0.01
0.07 0.12 0.00
0.07 0.10 -0.01
0.06 0.12 0.01
0.07 0.12 0.01
0.07 0.13 0.01
0.06 0.13 0.00
0.06 0.11 0.00
0.06 0.12 0.01
0.07 0.10 -0.01
0.06 0.11 -0.01
0.06 0.14 0.03
0.05 0.12 0.01
0.05 0.10 -0.01
0.05 0.08 -0.02
0.05 0.10 -0.01
0.04 0.08 -0.01
0.04 0.08 -0.02
0.06 0.08 -0.04
0.06 0.04 -0.07
0.05 0.06 -0.05
0.05 0.10 -0.01
0.03 0.12 0.01
0.02 0.07 -0.03
0.02 0.07 -0.04
0.05 0.10 -0.02
0.06 0.09 -0.03
0.06 0.05 -0.08
0.05 0.06 -0.07
0.05 0.07 -0.05
0.04 0.07 -0.04
0.05 0.07 -0.05
0.04 0.08 -0.05
0.03 0.04 -0.08
0.04 0.08 -0.03
0.05 0.08 -0.04
0.05 0.07 -0.05
0.04 0.06 -0.06
0.04 0.06 -0.05
0.05 0.06 -0.06
0.04 0.06 -0.06
0.04 0.07 -0.04
0.05 0.07 -0.05
0.05 0.07 -0.06
0.05 0.07 -0.06
0.05 0.07 -0.05
0.04 0.05 -0.07
0.04 0.06 -0.06
0.05 0.06 -0.07
0.06 0.06 -0.07
0.06 0.08 -0.06
0.04 0.06 -0.06
0.03 0.04 -0.06
0.02 0.03 -0.07
0.06 0.08 -0.05
0.07 0.09 -0.05
0.07 0.08 -0.06
0.06 0.08 -0.07
0.06 0.06 -0.08
0.04 0.05 -0.07
0.04 0.05 -0.06
0.05 0.07 -0.06
0.06 0.08 -0.07
0.06 0.06 -0.09
0.06 0.06 -0.08
0.06 0.07 -0.06
0.05 0.06 -0.06
0.05 0.06 -0.07
0.05 0.06 -0.07
0.04 0.06 -0.06
0.04 0.04 -0.08
0.05 0.07 -0.08
0.06 0.09 -0.05
0.06 0.06 -0.07
0.05 0.03 -0.09
0.05 0.06 -0.06
0.06 0.07 -0.07
0.07 0.07 -0.07
0.06 0.06 -0.08
0.05 0.06 -0.06
0.05 0.07 -0.05
0.05 0.07 -0.06
0.05 0.05 -0.08
0.06 0.05 -0.07
0.06 0.06 -0.06
0.05 0.07 -0.05
0.05 0.04 -0.07
0.05 0.07 -0.05
0.05 0.08 -0.05
0.04 0.05 -0.07
0.04 0.04 -0.07
0.04 0.05 -0.07
0.05 0.05 -0.07
0.05 0.04 -0.08
0.05 0.06 -0.07
0.05 0.05 -0.06
0.04 0.06 -0.05
0.02 0.01 -0.08
0.01 -0.02 -0.1
0.05 0.05 -0.09
0.05 0.06 -0.07
0.04 0.08 -0.05
0.04 0.05 -0.06
0.03 0.06 -0.06
0.03 0.05 -0.07
0.05 0.05 -0.07
0.06 0.07 -0.07
0.04 0.04 -0.09
0.03 0.02 -0.10
0.02 0.00 -0.12
0.03 0.05 -0.07
0.04 0.06 -0.06
0.04 0.05 -0.07
0.04 0.05 -0.08
0.04 0.03 -0.11
0.06 0.04 -0.15
0.08 0.05 -0.15
0.11 0.08 -0.15
0.13 0.09 -0.16
0.11 0.07 -0.17
0.10 0.07 -0.13
0.08 0.09 -0.07
0.03 0.04 -0.06
0.04 0.05 -0.06
0.03 0.04 -0.07
0.02 0.04 -0.08
-0.00 0.05 -0.0
-0.01 -0.01 -0.
-0.00 -0.02 -0.
0.01 0.03 -0.07
0.02 0.04 -0.07
0.01 0.05 -0.06
0.02 0.07 -0.05
0.03 0.09 -0.03
0.00 0.01 -0.08
0.00 0.02 -0.10
0.01 -0.00 -0.1
0.01 0.03 -0.08
0.01 0.03 -0.09
0.01 0.03 -0.08
0.01 0.03 -0.09
0.01 0.02 -0.09
0.02 0.11 0.00
0.03 0.18 0.08
0.04 0.21 0.11
-0.05 0.35 0.29
-0.27 0.23 0.22
-0.43 0.03 0.06
-0.50 -0.10 -0.
-0.64 -0.37 -0.
-0.75 -0.54 -0.
-0.78 -0.63 -0.
-0.77 -0.66 -0.
-0.70 -0.63 -0.
-0.57 -0.58 -0.
-0.40 -0.44 -0.
-0.31 -0.35 -0.
-0.18 -0.20 -0.
-0.11 -0.12 -0.
-0.04 -0.06 -0.
-0.01 -0.02 -0.
0.02 -0.01 -0.1
0.02 0.03 -0.06
0.03 0.04 -0.06
0.04 0.04 -0.06
0.05 0.03 -0.06
0.06 0.06 -0.05
0.08 0.07 -0.04
0.09 0.06 -0.08
0.06 0.05 -0.07
0.06 0.07 -0.03
0.10 0.08 -0.05
0.09 0.07 -0.06
0.08 0.05 -0.06
0.10 0.08 -0.04
0.13 0.11 -0.06
0.15 0.12 -0.06
0.15 0.12 -0.02
0.12 0.06 -0.03
0.11 0.07 -0.02
0.13 0.09 -0.02
0.16 0.12 -0.01
0.15 0.10 0.00
0.13 0.09 -0.00
0.11 0.08 -0.00
0.15 0.10 0.00
0.18 0.13 -0.03
0.14 0.11 0.01
0.12 0.08 0.02
0.10 0.05 0.03
0.18 0.13 0.02
0.21 0.16 0.03
0.17 0.12 0.04
0.17 0.12 0.08
0.18 0.14 0.11
0.19 0.15 0.13
0.18 0.14 0.11
0.17 0.12 0.10
0.21 0.17 0.12
0.24 0.19 0.14
0.25 0.20 0.15
0.28 0.23 0.20
0.28 0.23 0.20
0.21 0.17 0.20
0.20 0.17 0.21
0.20 0.16 0.24
0.19 0.15 0.25
0.29 0.25 0.23
0.32 0.29 0.23
0.28 0.25 0.21
0.25 0.21 0.20
0.21 0.17 0.21
0.21 0.18 0.22
0.21 0.19 0.24
0.21 0.19 0.19
0.18 0.19 0.16
0.16 0.15 0.16
0.12 0.11 0.20
0.05 0.05 0.17
0.01 0.00 0.17
0.00 0.00 0.16
-0.01 0.00 0.11
0.17 0.19 0.06
-0.04 -0.03 0.0
-0.13 -0.12 0.1
-0.10 -0.07 0.1
-0.02 0.00 0.09
0.00 0.02 0.08
-0.06 -0.04 0.0
-0.12 -0.11 0.1
-0.13 -0.07 0.1
-0.03 -0.02 0.0
0.00 -0.01 0.07
0.00 -0.01 0.06
-0.00 0.02 0.07
-0.09 -0.08 0.0
-0.11 -0.09 0.0
-0.12 -0.09 0.1
-0.07 -0.03 0.1
-0.04 0.00 0.16
-0.09 -0.06 0.1
-0.14 -0.09 0.1
-0.06 -0.04 0.1
-0.03 -0.04 0.0
-0.05 -0.05 0.1
-0.08 -0.06 0.1
-0.06 -0.02 0.1
-0.12 -0.08 0.0
-0.09 -0.08 0.0
-0.13 -0.10 0.1
-0.06 -0.03 0.1
-0.04 -0.04 0.0
-0.08 -0.07 0.0
-0.14 -0.12 0.0
-0.16 -0.14 0.1
-0.08 -0.08 0.0
-0.07 -0.06 0.0
-0.09 -0.07 0.0
-0.05 -0.04 0.0
-0.10 -0.07 0.0
-0.10 -0.06 0.0
-0.09 -0.04 0.1
-0.07 -0.02 0.1
-0.07 -0.05 0.1
-0.12 -0.07 0.1
-0.09 -0.03 0.1
-0.07 -0.03 0.1
-0.08 -0.06 0.1
-0.07 -0.03 0.1
-0.06 0.00 0.17
-0.10 -0.05 0.1
-0.12 -0.06 0.1
-0.12 -0.06 0.1
-0.10 -0.05 0.1
-0.06 -0.01 0.1
-0.06 0.00 0.15
-0.07 0.03 0.20
-0.07 0.14 0.34
-0.06 0.26 0.47
-0.21 0.31 0.54
-0.26 0.31 0.49
-0.40 0.18 0.36
-0.53 -0.14 0.0
-0.80 -0.58 -0.
-0.91 -0.72 -0.
-1.03 -0.86 -0.
-0.96 -0.83 -0.
-0.82 -0.72 -0.
-0.73 -0.64 -0.
-0.55 -0.50 0.0
-0.35 -0.31 0.0
-0.21 -0.17 0.1
-0.19 -0.14 0.1
-0.12 -0.09 0.1
-0.06 -0.03 0.1
-0.04 -0.00 0.1
-0.05 -0.01 0.1
0.01 0.05 0.17
0.04 0.08 0.17
0.05 0.12 0.18
0.05 0.12 0.19
0.04 0.11 0.21
0.00 0.07 0.22
-0.02 0.05 0.23
-0.00 0.05 0.20
0.05 0.10 0.19
0.07 0.12 0.19
0.01 0.06 0.20
0.03 0.09 0.22
0.07 0.14 0.24
0.09 0.15 0.22
0.07 0.12 0.21
0.07 0.11 0.21
0.05 0.09 0.20
0.08 0.14 0.24
0.08 0.14 0.25
0.08 0.14 0.24
0.10 0.14 0.24
0.12 0.20 0.26
0.15 0.21 0.24
0.17 0.22 0.22
0.12 0.15 0.20
0.10 0.16 0.23
0.10 0.14 0.22
0.12 0.15 0.22
0.15 0.18 0.22
0.16 0.20 0.24
0.15 0.16 0.21
0.14 0.16 0.23
0.17 0.21 0.24
0.20 0.28 0.28
0.20 0.27 0.28
0.20 0.27 0.28
0.20 0.27 0.29
0.23 0.30 0.31
0.25 0.34 0.35
0.24 0.37 0.37
0.25 0.34 0.35
0.24 0.31 0.32
0.29 0.36 0.36
0.29 0.39 0.38
0.27 0.42 0.41
0.26 0.35 0.33
0.28 0.32 0.30
0.30 0.32 0.28
0.26 0.37 0.31
0.23 0.34 0.34
0.20 0.35 0.35
0.19 0.32 0.31
0.15 0.25 0.24
0.11 0.21 0.21
0.08 0.19 0.21
0.06 0.19 0.21
0.03 0.13 0.15
0.04 0.12 0.14
0.00 0.12 0.14
0.01 0.10 0.13
0.01 0.07 0.12
-0.01 0.07 0.15
-0.00 0.15 0.18
-0.00 0.13 0.16
-0.02 0.09 0.11
-0.02 0.10 0.12
0.01 0.13 0.14
0.00 0.12 0.13
-0.00 0.11 0.13
-0.00 0.11 0.13
0.01 0.14 0.12
-0.01 0.16 0.18
-0.01 0.13 0.15
-0.01 0.09 0.11
0.00 0.07 0.07
0.00 0.07 0.08
-0.00 0.07 0.09
-0.00 0.06 0.07
0.00 0.14 0.13
0.01 0.14 0.13
0.00 0.15 0.14
-0.01 0.06 0.06
-0.02 0.07 0.07
-0.01 0.12 0.11
0.00 0.17 0.15
0.00 0.11 0.09
-0.01 0.08 0.06
-0.01 0.11 0.08
-0.02 0.08 0.06
-0.02 0.12 0.09
-0.00 0.14 0.09
-0.01 0.12 0.08
-0.01 0.11 0.07
-0.02 0.11 0.07
-0.01 0.12 0.06
-0.01 0.11 0.04
-0.01 0.07 0.00
-0.01 0.10 0.03
-0.02 0.10 0.04
-0.02 0.08 0.02
-0.01 0.07 0.01
-0.01 0.09 0.01
-0.02 0.10 0.01
-0.02 0.10 0.01
-0.02 0.09 0.00
-0.03 0.05 -0.0
-0.02 0.10 0.01
-0.01 0.09 -0.0
-0.01 0.07 -0.0
-0.01 0.06 -0.0
-0.02 0.11 0.01
-0.01 0.10 0.00
-0.02 0.05 -0.0
-0.03 0.08 -0.0
-0.02 0.05 -0.0
-0.03 0.05 -0.0
-0.03 0.07 -0.0
-0.03 0.09 -0.0
-0.02 0.10 -0.0
-0.03 0.10 0.00
-0.03 0.08 -0.0
-0.03 0.05 -0.0
-0.03 0.05 -0.0
-0.03 0.07 -0.0
-0.02 0.10 -0.0
-0.01 0.11 0.00
-0.02 0.03 -0.0
-0.03 0.02 -0.0
-0.03 0.03 -0.0
-0.03 0.10 0.01
-0.02 0.10 -0.0
-0.02 0.11 0.00
-0.02 0.12 0.02
-0.03 0.09 -0.0
-0.03 0.08 -0.0
-0.03 0.08 -0.0
-0.03 0.07 -0.0
-0.03 0.06 -0.0
-0.04 0.04 -0.0
-0.04 0.04 -0.0
-0.03 0.07 -0.0
-0.02 0.09 -0.0
-0.01 0.07 -0.0
-0.01 0.07 -0.0
-0.00 0.08 -0.0
-0.01 0.12 -0.0
-0.01 0.10 -0.0
-0.01 0.07 -0.0
-0.01 0.05 -0.0
0.01 0.10 -0.09
0.03 0.16 -0.01
0.02 0.13 -0.03
-0.01 0.06 -0.0
-0.04 0.07 -0.0
-0.07 0.02 -0.0
-0.08 0.01 -0.0
-0.09 0.00 -0.0
-0.05 0.07 -0.0
-0.03 0.07 -0.0
-0.04 0.05 -0.0
-0.05 0.05 -0.0
-0.05 0.04 -0.0
-0.04 0.03 -0.0
-0.03 0.04 -0.0
-0.01 0.07 -0.0
-0.01 0.10 -0.0
-0.01 0.10 -0.0
-0.02 0.07 -0.0
-0.03 0.06 -0.0
-0.01 0.13 0.00
0.07 0.21 0.00
0.08 0.20 -0.01
0.09 0.10 -0.05
-0.08 -0.02 -0.
-0.11 -0.05 -0.
-0.08 0.03 -0.0
-0.06 0.02 -0.0
-0.04 0.03 -0.0
-0.04 0.01 -0.0
-0.04 0.04 -0.0
-0.05 0.08 -0.0
-0.02 0.09 0.00
0.00 0.07 -0.04
0.01 0.10 -0.02
0.03 0.14 -0.01
0.01 0.10 -0.05
-0.03 0.04 -0.0
-0.03 0.05 -0.0
0.00 0.07 -0.05
0.09 0.15 -0.09
0.15 0.23 -0.05
0.14 0.23 -0.03
0.03 0.13 0.00
-0.02 0.09 0.02
0.03 0.15 0.04
0.01 0.14 0.04
-0.04 0.07 0.02
-0.09 0.01 0.00
-0.08 0.02 -0.0
-0.09 0.01 0.00
-0.11 -0.02 -0.
-0.11 -0.00 0.0
-0.10 0.01 0.03
-0.10 0.01 0.02
-0.06 0.05 0.01
-0.01 0.10 0.05
0.00 0.12 0.05
-0.03 0.06 0.04
-0.09 0.00 0.02
-0.06 0.04 0.02
0.02 0.09 0.01
0.02 0.11 0.03
-0.05 0.12 0.07
-0.14 -0.01 0.0
-0.16 -0.05 0.0
-0.16 -0.05 0.0
-0.09 0.01 0.04
-0.07 0.05 0.09
-0.07 0.12 0.21
-0.07 0.18 0.28
-0.15 0.25 0.38
-0.33 0.26 0.42
-0.52 0.09 0.34
-0.59 0.02 0.29
-0.71 -0.23 0.0
-0.88 -0.50 -0.
-1.03 -0.69 -0.
-1.00 -0.69 -0.
-0.93 -0.70 -0.
-0.82 -0.65 -0.
-0.66 -0.55 -0.
-0.59 -0.50 -0.
-0.44 -0.36 0.0
-0.30 -0.22 0.0
-0.21 -0.15 0.0
-0.18 -0.12 0.0
-0.13 -0.07 0.0
-0.11 -0.04 0.1
-0.10 -0.03 0.1
-0.14 -0.06 0.1
-0.06 0.02 0.16
-0.02 0.04 0.16
-0.11 -0.03 0.1
-0.12 -0.05 0.1
-0.14 -0.07 0.1
-0.09 -0.01 0.1
-0.05 0.02 0.14
-0.05 0.02 0.13
-0.09 -0.03 0.1
-0.10 -0.03 0.1
-0.03 0.03 0.16
-0.01 0.05 0.16
0.01 0.08 0.17
0.03 0.09 0.16
-0.07 -0.01 0.1
-0.10 -0.04 0.1
-0.11 -0.05 0.1
-0.10 -0.04 0.1
-0.08 -0.02 0.1
-0.07 -0.01 0.1
-0.06 0.00 0.15
-0.06 -0.01 0.1
-0.07 -0.01 0.1
-0.04 0.01 0.17
-0.03 0.03 0.17
-0.03 0.03 0.18
-0.04 0.01 0.17
-0.03 0.02 0.17
-0.00 0.05 0.18
0.01 0.06 0.18
-0.00 0.05 0.18
0.00 0.06 0.19
0.04 0.09 0.19
0.06 0.12 0.21
0.15 0.20 0.21
0.12 0.17 0.21
0.02 0.07 0.22
-0.04 0.00 0.22
-0.00 0.04 0.23
0.02 0.07 0.23
0.04 0.07 0.22
0.04 0.08 0.24
0.08 0.11 0.24
0.09 0.12 0.24
0.11 0.13 0.24
0.11 0.14 0.24
0.11 0.13 0.26
0.11 0.13 0.27
0.12 0.15 0.25
0.14 0.17 0.24
0.11 0.15 0.24
0.10 0.13 0.23
0.07 0.11 0.22
0.04 0.09 0.23
0.01 0.06 0.24
-0.01 0.05 0.23
0.01 0.07 0.20
-0.01 0.05 0.19
-0.06 0.02 0.19
-0.05 0.02 0.18
-0.05 0.00 0.17
-0.08 -0.03 0.1
-0.09 -0.06 0.1
-0.09 -0.05 0.0
-0.08 0.00 0.16
-0.09 -0.00 0.1
-0.06 0.03 0.13
-0.07 0.01 0.13
-0.09 0.00 0.14
-0.10 -0.00 0.1
-0.08 0.01 0.16
-0.08 0.00 0.14
-0.09 -0.01 0.1
-0.07 0.00 0.11
-0.06 -0.01 0.0
-0.07 -0.00 0.1
-0.10 0.00 0.14
-0.11 -0.02 0.1
-0.08 0.01 0.16
-0.07 0.02 0.14
-0.09 -0.01 0.1
-0.10 -0.03 0.0
-0.09 -0.00 0.1
-0.08 0.00 0.12
-0.08 0.00 0.12
-0.09 -0.02 0.1
-0.10 -0.01 0.1
-0.11 -0.04 0.0
-0.11 -0.04 0.0
-0.13 -0.05 0.1
-0.16 -0.09 0.1
-0.15 -0.08 0.0
-0.11 -0.05 0.0
-0.09 -0.03 0.0
-0.13 -0.07 0.0
-0.16 -0.10 0.0
-0.15 -0.10 0.0
-0.14 -0.10 0.0
-0.09 -0.06 0.0
-0.10 -0.07 0.0
-0.12 -0.08 0.0
-0.13 -0.07 0.0
-0.15 -0.06 0.0
-0.16 -0.09 0.0
-0.13 -0.06 0.0
-0.14 -0.07 0.0
-0.13 -0.08 0.0
-0.13 -0.07 0.0
-0.12 -0.07 0.0
-0.13 -0.10 0.0
-0.12 -0.12 -0.
-0.18 -0.12 0.0
-0.15 -0.08 0.0
-0.13 -0.07 0.0
-0.11 -0.06 0.0
-0.10 -0.06 -0.
-0.08 -0.05 -0.
-0.07 -0.04 -0.
-0.07 -0.05 -0.
-0.07 -0.05 -0.
-0.02 0.00 -0.0
-0.04 -0.02 -0.
-0.07 -0.04 -0.
-0.09 -0.05 -0.
-0.11 -0.07 0.0
-0.12 -0.09 -0.
-0.14 -0.11 -0.
-0.15 -0.12 -0.
-0.17 -0.14 -0.
-0.13 -0.11 -0.
-0.13 -0.11 -0.
-0.14 -0.12 -0.
-0.15 -0.12 -0.
-0.16 -0.11 -0.
-0.13 -0.09 -0.
-0.13 -0.08 -0.
-0.13 -0.09 -0.
-0.15 -0.12 -0.
-0.15 -0.12 -0.
-0.15 -0.12 -0.
-0.15 -0.13 -0.
-0.16 -0.14 -0.
-0.13 -0.11 -0.
-0.16 -0.16 -0.
-0.17 -0.16 -0.
-0.15 -0.14 -0.
-0.15 -0.15 -0.
-0.16 -0.15 -0.
-0.16 -0.15 -0.
-0.17 -0.14 -0.
-0.14 -0.12 -0.
-0.14 -0.12 -0.
-0.16 -0.09 -0.
-0.12 0.04 0.07
-0.15 0.15 0.19
-0.22 0.14 0.20
-0.41 0.04 0.20
-0.60 -0.15 0.0
-0.75 -0.41 -0.
-0.82 -0.57 -0.
-0.94 -0.76 -0.
-0.98 -0.83 -0.
-0.97 -0.87 -0.
-0.92 -0.84 -0.
-0.81 -0.77 -0.
-0.64 -0.65 -0.
-0.48 -0.50 -0.
-0.40 -0.43 -0.
-0.30 -0.33 -0.
-0.23 -0.25 -0.
-0.17 -0.20 -0.
-0.16 -0.18 -0.
-0.12 -0.14 -0.
-0.11 -0.12 -0.
-0.13 -0.13 -0.
-0.12 -0.12 -0.
-0.11 -0.10 -0.
-0.10 -0.09 -0.
-0.10 -0.09 -0.
-0.10 -0.09 -0.
-0.11 -0.09 -0.
-0.11 -0.09 -0.
-0.10 -0.09 -0.
-0.10 -0.09 -0.
-0.08 -0.06 -0.
-0.06 -0.04 -0.
-0.10 -0.07 -0.
-0.10 -0.07 -0.
-0.10 -0.07 -0.
-0.10 -0.06 -0.
-0.08 -0.05 -0.
-0.06 -0.03 -0.
-0.06 -0.03 -0.
-0.05 -0.02 -0.
-0.07 -0.04 -0.
-0.07 -0.03 -0.
-0.06 -0.02 -0.
-0.05 -0.01 -0.
-0.04 -0.00 -0.
-0.03 0.00 -0.0
-0.05 -0.01 -0.
-0.02 0.01 -0.0
-0.01 0.03 -0.0
-0.00 0.03 -0.0
0.00 0.02 -0.04
-0.02 0.02 -0.0
0.01 0.05 -0.01
0.02 0.06 -0.01
0.03 0.08 -0.00
0.03 0.07 0.00
0.05 0.08 0.00
0.06 0.09 0.01
0.07 0.10 0.02
0.07 0.11 0.03
0.08 0.11 0.04
0.09 0.12 0.04
0.10 0.14 0.04
0.11 0.14 0.04
0.11 0.14 0.04
0.11 0.13 0.05
0.11 0.12 0.05
0.12 0.12 0.04
0.12 0.14 0.05
0.10 0.10 0.01
0.09 0.08 0.00
0.06 0.05 -0.03
0.04 0.04 -0.02
0.03 0.05 -0.01
0.01 0.07 0.00
-0.01 0.02 -0.0
-0.04 -0.03 -0.
-0.05 -0.06 -0.
-0.07 -0.05 -0.
-0.08 -0.04 -0.
-0.10 -0.06 -0.
-0.10 -0.03 -0.
-0.09 0.01 -0.0
-0.08 0.01 -0.0
-0.09 -0.02 -0.
-0.09 -0.00 -0.
-0.10 -0.02 -0.
-0.09 -0.03 -0.
-0.08 -0.02 -0.
-0.07 -0.01 -0.
-0.07 -0.01 -0.
-0.07 -0.01 -0.
-0.07 -0.02 -0.
-0.06 -0.01 -0.
-0.04 0.00 -0.0
-0.05 0.00 -0.0
-0.05 -0.01 -0.
-0.04 -0.00 -0.
-0.03 0.00 -0.0
-0.03 0.00 -0.0
-0.04 -0.02 -0.
-0.04 -0.00 -0.
-0.02 0.00 -0.0
-0.02 -0.00 -0.
-0.03 -0.01 -0.
-0.03 -0.01 -0.
-0.03 -0.01 -0.
-0.03 -0.01 -0.
-0.03 -0.01 -0.
-0.02 -0.01 -0.
-0.02 -0.01 -0.
-0.03 -0.02 -0.
-0.04 -0.03 -0.
-0.04 -0.03 -0.
-0.04 -0.03 -0.
-0.05 -0.04 -0.
-0.06 -0.04 -0.
-0.05 -0.04 -0.
-0.05 -0.04 -0.
-0.06 -0.04 -0.
-0.06 -0.04 -0.
-0.05 -0.03 -0.
-0.05 -0.03 -0.
-0.05 -0.03 -0.
-0.04 -0.03 -0.
-0.04 -0.04 -0.
-0.04 -0.04 -0.
-0.01 -0.01 -0.
0.01 0.00 -0.22
0.01 0.00 -0.21
0.02 0.01 -0.21
-0.04 -0.03 -0.
-0.09 -0.06 -0.
-0.11 -0.08 -0.
-0.13 -0.09 -0.
-0.12 -0.09 -0.
-0.13 -0.09 -0.
-0.14 -0.11 -0.
-0.15 -0.12 -0.
-0.14 -0.09 -0.
-0.15 -0.10 -0.
-0.16 -0.10 -0.
-0.16 -0.11 -0.
-0.15 -0.08 -0.
-0.14 -0.07 -0.
-0.14 -0.07 -0.
-0.15 -0.09 -0.
-0.16 -0.11 -0.
-0.17 -0.12 -0.
-0.17 -0.10 -0.
-0.17 -0.09 -0.
-0.18 -0.10 -0.
-0.17 -0.10 -0.
-0.17 -0.10 -0.
-0.18 -0.10 -0.
-0.19 -0.11 -0.
-0.16 -0.09 -0.
-0.16 -0.09 -0.
-0.17 -0.09 -0.
-0.17 -0.09 -0.
-0.18 -0.06 -0.
-0.17 -0.01 -0.
-0.15 0.09 0.01
-0.15 0.17 0.11
-0.37 0.19 0.15
-0.47 0.07 0.08
-0.65 -0.10 -0.
-0.82 -0.41 -0.
-0.96 -0.66 -0.
-1.00 -0.72 -0.
-1.04 -0.79 -0.
-0.99 -0.81 -0.
-0.88 -0.81 -0.
-0.81 -0.71 -0.
-0.62 -0.56 -0.
-0.44 -0.40 -0.
-0.32 -0.27 -0.
-0.30 -0.24 -0.
-0.24 -0.20 -0.
-0.19 -0.13 -0.
-0.15 -0.08 -0.
-0.14 -0.06 -0.
-0.13 -0.06 -0.
-0.12 -0.06 -0.
-0.11 -0.04 -0.
-0.12 -0.04 -0.
-0.12 -0.03 -0.
-0.11 -0.02 -0.
-0.11 -0.01 -0.
-0.10 -0.01 -0.
-0.11 -0.02 -0.
-0.10 -0.00 -0.
-0.11 -0.01 -0.
-0.11 -0.01 -0.
-0.10 -0.00 -0.
-0.11 0.01 -0.1
-0.10 0.03 -0.1
-0.09 0.03 -0.1
-0.10 0.01 -0.1
-0.10 0.01 -0.1
-0.09 0.03 -0.1
-0.09 0.03 -0.1
-0.08 0.03 -0.1
-0.08 0.02 -0.1
-0.07 0.02 -0.1
-0.07 0.03 -0.1
-0.06 0.06 -0.0
-0.05 0.08 -0.0
-0.05 0.07 -0.0
-0.05 0.06 -0.0
-0.05 0.06 -0.0
-0.04 0.07 -0.0
-0.02 0.09 -0.0
-0.01 0.09 -0.0
-0.01 0.09 -0.0
0.00 0.11 -0.03
0.01 0.12 -0.02
0.02 0.12 -0.01
0.04 0.14 -0.00
0.05 0.15 0.01
0.07 0.16 0.03
0.09 0.17 0.03
0.09 0.18 0.04
0.10 0.18 0.03
0.12 0.20 0.03
0.15 0.22 0.03
0.19 0.26 0.04
0.21 0.28 0.05
0.16 0.28 0.05
0.12 0.20 0.05
0.07 0.16 0.04
0.21 0.30 0.04
0.19 0.27 0.03
0.09 0.18 0.03
-0.06 0.04 0.01
-0.11 -0.00 0.0
-0.09 0.03 -0.0
-0.06 0.05 -0.0
-0.08 0.02 -0.0
-0.14 -0.03 -0.
-0.16 -0.04 -0.
-0.15 -0.03 -0.
-0.08 0.04 -0.0
-0.00 0.11 -0.0
0.01 0.13 -0.07
-0.10 0.02 -0.0
-0.20 -0.06 -0.
-0.25 -0.11 -0.
-0.24 -0.09 -0.
-0.22 -0.08 -0.
-0.20 -0.05 -0.
-0.17 -0.03 -0.
-0.16 -0.02 -0.
-0.17 -0.03 -0.
-0.18 -0.03 -0.
-0.17 -0.03 -0.
-0.16 -0.02 -0.
-0.16 -0.02 -0.
-0.16 -0.03 -0.
-0.17 -0.03 -0.
-0.17 -0.02 -0.
-0.16 -0.01 -0.
-0.15 -0.01 -0.
-0.16 -0.02 -0.
-0.15 -0.01 -0.
-0.13 0.01 -0.0
